Step,gamma,loss(train),loss(validate)
6260,0.4119950830936432,0.051657501608133316,0.05429747328162193
6280,0.4119838774204254,0.052034806460142136,0.05575832352042198
6300,0.41183993220329285,0.05247200280427933,0.055195070803165436
6320,0.4119507074356079,0.051525332033634186,0.055106185376644135
6340,0.4119788110256195,0.05311736837029457,0.056065451353788376
6360,0.4121081531047821,0.05357936769723892,0.05562032014131546
6380,0.41207155585289,0.052392054349184036,0.05445145070552826
6400,0.41197049617767334,0.05158005654811859,0.05430145934224129
6420,0.41185900568962097,0.05102206766605377,0.054934725165367126
6440,0.4118046760559082,0.049892473965883255,0.05508853495121002
6460,0.41168928146362305,0.05048833042383194,0.053862303495407104
6480,0.4115680754184723,0.051421940326690674,0.05420193821191788
6500,0.4115777015686035,0.05665041506290436,0.05424775555729866
6520,0.41145458817481995,0.05109119787812233,0.054685357958078384
6540,0.4114978313446045,0.05167080834507942,0.05382572114467621
6560,0.41152819991111755,0.05099538713693619,0.05664335563778877
6580,0.4114837348461151,0.050376422703266144,0.054585084319114685
6600,0.4113691747188568,0.05268733575940132,0.05495451018214226
6620,0.41135913133621216,0.052194833755493164,0.05534419044852257
6640,0.4114300310611725,0.05215190351009369,0.054865557700395584
6660,0.411395400762558,0.05113673955202103,0.053927864879369736
6680,0.4114769399166107,0.05097518488764763,0.054680392146110535
6700,0.41138750314712524,0.05134379118680954,0.05468910187482834
6720,0.4111681580543518,0.05021202564239502,0.054560586810112
6740,0.4111555218696594,0.051154278218746185,0.05437091365456581
6760,0.41132500767707825,0.05076850205659866,0.054048001766204834
6780,0.41115373373031616,0.04986114427447319,0.053780317306518555
6800,0.41108882427215576,0.050177209079265594,0.054003458470106125
6820,0.41104817390441895,0.049027252942323685,0.05445840209722519
6840,0.4108429551124573,0.051492542028427124,0.0537203811109066
6860,0.41092947125434875,0.049169156700372696,0.05596167594194412
6880,0.4109713137149811,0.051475051790475845,0.053451769053936005
6900,0.4109494090080261,0.0511271208524704,0.05524270981550217
6920,0.41084951162338257,0.05006343498826027,0.05502729117870331
6940,0.4107440114021301,0.05089430510997772,0.053044699132442474
6960,0.4106893241405487,0.05138270929455757,0.05291174352169037
6980,0.41079533100128174,0.049783553928136826,0.05331283062696457
7000,0.410574346780777,0.050181999802589417,0.052259959280490875
7020,0.4105219841003418,0.05193766951560974,0.052870288491249084
7040,0.4103894531726837,0.05039803683757782,0.05340468883514404
7060,0.4102725386619568,0.05116662010550499,0.052603691816329956
7080,0.41048386693000793,0.050626110285520554,0.05380134657025337
7100,0.41052383184432983,0.05158598721027374,0.05464859679341316
7120,0.41078680753707886,0.04726576805114746,0.052753299474716187
7140,0.41075432300567627,0.04911787435412407,0.056098178029060364
7160,0.4107511341571808,0.050574153661727905,0.05409080907702446
7180,0.41068336367607117,0.05007562413811684,0.05464189499616623
7200,0.41069018840789795,0.05109868943691254,0.05269911512732506
7220,0.4106423556804657,0.05238569900393486,0.055832598358392715
7240,0.41049498319625854,0.04892616346478462,0.05315794050693512
7260,0.4104933440685272,0.049734920263290405,0.05292392522096634
7280,0.4105372428894043,0.05039336904883385,0.05376241356134415
7300,0.41039860248565674,0.05079617723822594,0.05255860835313797
7320,0.4102925658226013,0.04932422935962677,0.05288627743721008
7340,0.41034743189811707,0.0495217889547348,0.05322730913758278
7360,0.4103957712650299,0.0495612733066082,0.05472659319639206
7380,0.4104427993297577,0.049902886152267456,0.05339802801609039
7400,0.4104124903678894,0.04991397261619568,0.05283104628324509
7420,0.4104015529155731,0.05041487514972687,0.052282948046922684
7440,0.4104532301425934,0.048967134207487106,0.05368661880493164
7460,0.410251259803772,0.04996778443455696,0.05240604281425476
7480,0.41036707162857056,0.04981561377644539,0.0527210459113121
7500,0.41032084822654724,0.04817658290266991,0.05246393755078316
7520,0.41021350026130676,0.04832730442285538,0.052223462611436844
7540,0.4100504219532013,0.048735909163951874,0.05283007025718689
7560,0.4100254774093628,0.04976148158311844,0.05419343709945679
7580,0.40977728366851807,0.050372179597616196,0.05358912795782089
7600,0.4098025858402252,0.04849515110254288,0.05191848427057266
7620,0.40976786613464355,0.04934501647949219,0.05230305343866348
7640,0.4095489978790283,0.0484083816409111,0.053940437734127045
7660,0.4095374047756195,0.048049312084913254,0.05330644175410271
7680,0.4095443785190582,0.04976525530219078,0.052393101155757904
7700,0.4094652533531189,0.049126140773296356,0.053491365164518356
7720,0.4093831181526184,0.048472847789525986,0.05314057692885399
7740,0.40940919518470764,0.04893210530281067,0.05298425629734993
7760,0.4094502627849579,0.05011942237615585,0.0534723699092865
7780,0.4092293381690979,0.049450475722551346,0.05397780239582062
7800,0.40932151675224304,0.04812837764620781,0.05190282687544823
7820,0.4093341529369354,0.049975089728832245,0.05312327668070793
7840,0.4092402458190918,0.04912782087922096,0.05344127491116524
7860,0.4090907871723175,0.04936286062002182,0.05198955163359642
7880,0.4091115891933441,0.048007309436798096,0.051360491663217545
7900,0.4091961979866028,0.049229592084884644,0.05277019366621971
7920,0.40910616517066956,0.04749030992388725,0.053654324263334274
7940,0.40933698415756226,0.05032125115394592,0.05266745388507843
7960,0.4092887341976166,0.05184009671211243,0.05344553291797638
7980,0.40951815247535706,0.048279449343681335,0.053073495626449585
8000,0.40930426120758057,0.04814917966723442,0.05164550989866257
8020,0.40926551818847656,0.047600213438272476,0.0524006150662899
8040,0.40906500816345215,0.04829004779458046,0.051302652806043625
8060,0.4091172218322754,0.04768415912985802,0.05185670405626297
8080,0.40907150506973267,0.045562494546175,0.05136280879378319
8100,0.4090191125869751,0.04786871001124382,0.051681652665138245
8120,0.4089277386665344,0.047466836869716644,0.05069749057292938
8140,0.40886327624320984,0.04918637499213219,0.05202537775039673
8160,0.4087023138999939,0.04886201024055481,0.05160052329301834
8180,0.408765584230423,0.047055017203092575,0.05237651616334915
8200,0.40879005193710327,0.048783350735902786,0.05166615545749664
8220,0.40867745876312256,0.04779745638370514,0.05123334750533104
8240,0.4084950387477875,0.04762496426701546,0.050451718270778656
8260,0.40841713547706604,0.046977449208498,0.05231712758541107
8280,0.40831857919692993,0.04711870476603508,0.0528629869222641
8300,0.4081832468509674,0.04659758880734444,0.051193609833717346
8320,0.4080728590488434,0.0479680597782135,0.051725782454013824
8340,0.40808388590812683,0.047106463462114334,0.05150778591632843
